,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically
Robert J. Shiller ,,,,,,,,,,Adjusted
,,,,,,,,,,Price
,,,,  Consumer,,,,,,Earnings
,S&P,,,Price,,Long,,,,Ratio
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,89.87,5.26,8.10,NA
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,88.39,5.11,7.86,NA
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,89.23,5.03,7.74,NA
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,95.22,5.22,8.04,NA
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,99.90,5.34,8.22,NA
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,100.64,5.43,8.35,NA
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,98.76,5.43,8.35,NA
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,101.61,5.52,8.49,NA
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,100.26,5.39,8.29,NA
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,93.62,5.30,8.16,NA
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,94.64,5.30,8.16,NA
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,94.50,5.18,7.97,NA
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,96.89,5.25,8.02,NA
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,97.29,5.32,8.07,NA
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,98.99,5.30,8.00,NA
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,99.53,5.25,7.88,NA
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,99.53,5.32,7.93,NA
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,99.29,5.42,8.03,NA
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,100.17,5.56,8.20,NA
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,98.27,5.59,8.19,NA
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,95.81,5.61,8.18,NA
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,98.35,5.80,8.41,NA
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,95.11,5.70,8.21,NA
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,98.85,5.85,8.38,NA
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,99.63,5.90,8.43,NA
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,98.24,5.82,8.30,NA
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,97.48,5.87,8.35,NA
